"cons_12m","cons_gas_12m","cons_last_month","no_consumption","churn","days_active","days_since_last_modification","forecast_cons_12m","forecast_cons_year","forecast_discount_energy","has_gas","margin_net_pow_ele","nb_prod_act","net_margin","pow_max","channel_sales"
49590,0,4088,0,0,1461,45,4209.81,4088,0,0,26.62,1,485.25,34.5,"5"
581,0,0,1,0,1881,1516,84.12,0,0,0,15.72,1,6.89,13.2,"8"
457677,940292,21826,0,0,2499,2134,4739.29,0,0,1,3.56,2,367.95,13.2,"6"
7972,0,583,0,0,1461,1096,461.42,583,0,0,27.03,1,59.6,17.32,"5"
5553,0,996,0,0,4018,83,812.68,996,0,0,10.66,1,64.63,11,"1"
2267,0,386,0,0,2192,1833,342.75,386,0,0,23.76,1,35.49,10.392,"1"
2732,0,775,0,0,1461,42178,336.97,775,0,0,16.92,2,30.69,10.39,"5"
33231,0,0,1,0,2557,2193,1633.43,0,0,0,8.8,1,139.39,13.2,"5"
1722179,1192414,181187,0,0,2546,2181,4729.75,0,0,1,32.64,2,495.7,14.5,"1"
15199,0,1327,0,0,2192,1830,2293.01,1327,0,0,28.45,1,229.58,13.856,"1"
342221,0,52437,0,0,2557,2192,32879.72,52437,0,0,3.15,1,2520.05,17.25,"1"
20623,0,1945,0,0,2192,39,2127.13,1945,0,0,17.81,1,197.01,23.1,"1"
14434,0,0,1,0,1826,1462,2145.91,0,0,0,31.2,1,214.65,13.856,"6"
49757,1350391,5509,0,0,1555,92,5066.43,5509,0,1,19.92,2,485.99,16.5,"5"
2562,0,0,1,0,1095,731,386.45,0,0,0,26.04,1,40.03,10.392,"5"
3300,0,359,0,0,1461,1109,352.17,359,0,0,27.93,1,39.02,15.4,"5"
82900,0,14264,0,0,1461,1096,393.34,684,0,0,30.22,1,40.28,13.2,"6"
4201,2557,0,1,0,1461,1096,835.52,0,0,1,1.48,2,257.02,13.856,"8"
2533,0,456,0,1,1142,217,345.29,456,30,0,70.12,1,17.04,19.8,"5"
2549,0,359,0,0,2557,2192,246.65,359,0,0,94.86,1,26.18,49,"5"
4538,0,1012,0,0,2192,488,687.28,1012,0,0,26.2,1,69.37,15,"5"
3458,0,0,1,0,2240,1876,554.31,0,0,0,37.56,1,54.03,15,"5"
9779,351,0,1,0,2557,425,1449.57,0,0,1,15.12,2,121.9,13.2,"1"
17839,0,876,0,0,1827,24,1319.73,876,0,0,17.55,1,149.86,16.5,"8"
16575,0,2316,0,0,1489,55,908.17,794,0,0,24.78,1,66.92,15,"5"
37703,0,0,1,0,1461,1096,510.97,0,0,0,19.48,1,50.83,13.856,"3"
27801,0,2460,0,0,1461,24,2874.44,2460,0,0,13.97,1,330.71,18.13,"5"
43892,0,3542,0,0,2161,1796,4029.16,3542,0,0,3,1,421.73,19.32,"6"
14876,0,0,1,0,1461,1096,2224.44,0,0,0,28.67,1,227.54,13.943,"5"
29492,0,0,1,0,1480,366,561.79,0,0,0,16.44,1,52.8,13.856,"3"
17285,0,3947,0,0,1827,1462,2193.78,3947,0,0,7.59,1,230.58,40,"5"
788287,0,59796,0,0,2433,2068,7064.33,0,0,0,24.52,1,421.08,13.2,"6"
11422,0,800,0,0,2557,2192,1166.21,800,0,0,32.18,1,121.35,19.8,"5"
231736,69815,14523,0,0,1388,366,3625.87,4039,0,1,7.24,2,268.22,44,"8"
4939487,1860052,426460,0,0,1662,1299,3838.66,4510,0,1,0,2,323.3,15.001,"1"
48923,129242,0,1,0,1444,1081,2323.9,0,0,1,19.92,2,611.49,19.919,"5"
11309,0,1067,0,0,2557,50,1716,1067,0,0,3.56,1,138.9,13.2,"1"
22264,0,2013,0,0,1461,1096,2259.99,2013,0,0,20.95,1,276.97,43.648,"5"
8859,0,805,0,0,2192,1827,943.17,805,0,0,51.96,1,109.21,20.785,"5"
9940,0,0,1,0,1827,1463,1469.24,0,0,0,11.42,1,137.59,13.2,"8"
17064,0,1207,0,0,1461,44,1700.3,1207,0,0,14.46,1,205.47,23.1,"5"
9229,0,0,1,0,1827,1462,1388.83,0,0,0,14.64,1,140.39,10.392,"1"
12746,0,0,1,0,2191,1827,445.42,0,0,0,34.68,1,47.28,13.856,"5"
642,0,141,0,0,1461,1096,96.44,141,0,0,28.6,1,8.64,13.856,"5"
31768,6405,1470,0,0,1827,394,3225.45,1470,0,1,0.68,2,418.26,15.935,"5"
5972,0,513,0,1,1827,1462,621.82,513,0,0,27.7,1,77.11,19,"5"
5967,19465,0,1,0,2557,2194,890.11,0,0,1,13.35,3,81.31,13.8,"1"
60083,183161,888,0,0,1445,348,6842.31,0,0,1,13.32,2,498.77,12.5,"5"
2007,0,0,1,0,1096,42178,301.72,0,0,0,24.4,1,38.15,15,"5"
37703,0,4097,0,0,2677,731,2256.05,2758,0,0,24.72,1,230.56,16.5,"1"
1590,0,0,1,0,2557,2192,238.55,0,0,0,26.73,1,22.17,13.2,"5"
3378,0,0,1,0,2192,72,505.08,0,0,0,26.04,1,48.91,10.392,"3"
9674,0,96,0,1,1095,738,1061.06,96,0,0,119.88,1,153.26,60,"5"
20369,0,803,0,0,2192,1827,946.79,803,0,0,54.3,1,116.47,26.6,"6"
4652,0,787,0,0,2557,2192,691.41,787,0,0,16.38,1,62.2,13.8,"1"
9281,0,0,1,0,2557,2192,1371.05,0,0,0,11.42,1,134.78,13.2,"1"
3945,0,362,0,0,2249,1886,392.21,362,0,0,39.35,1,43.71,17.321,"5"
19645,0,1523,0,0,2192,41,1955.89,1523,0,0,5,1,229.08,15.01,"1"
18298,0,34,0,0,1827,34,1909.91,34,0,0,19.5,1,272.49,31.17,"5"
19544,0,20,0,0,1827,1462,14.07,20,0,0,42,1,1.69,21.04,"5"
12975,0,2263,0,0,2557,39,1272.96,2263,0,0,15,1,149.17,30,"1"
51179,0,3707,0,0,1461,399,5078.46,3707,0,0,0.72,2,586.93,17.32,"5"
971469,0,82447,0,1,2401,2040,1843.45,1936,0,0,17.13,1,164.39,10.35,"1"
118609,63220,12074,0,0,2192,37,11685.55,12074,0,1,11.32,2,770.77,55,"5"
13755,0,1369,0,0,2192,1827,1451.21,1369,0,0,24.6,1,155.83,23.1,"5"
21496,0,1416,0,0,2191,302,1377.89,0,0,0,29.76,1,144.39,13.2,"1"
3199,0,297,0,0,1413,367,335.67,297,0,0,76.92,1,34.4,30.8,"5"
14178,0,887,0,0,1827,26,1498.97,887,0,0,12.3,1,181.08,19.72,"8"
6719,0,0,1,0,1461,47,991.03,0,0,0,15.78,1,82.91,13.856,"5"
13131,0,1273,0,0,2557,62,1552.22,1273,0,0,6.18,1,56.05,13.2,"1"
70288,0,10988,0,0,2921,2556,665.04,1003,0,0,3.69,1,87.16,16,"1"
21590,0,2066,0,0,2922,2558,2233.15,2066,0,0,19.21,1,241.43,40,"1"
253910,219127,18600,0,0,2557,26,1963.99,1713,0,1,5.64,3,207.97,30,"1"
78408,367557,7984,0,0,2192,1827,2707.47,2101,0,1,33.46,2,329.62,27.71,"1"
7513,0,0,1,1,2556,2191,820.58,0,0,0,21.09,1,75.06,10.392,"1"
29552,0,1260,0,0,2192,1827,864.73,751,0,0,53.92,1,100.09,26.4,"5"
3744,0,0,1,0,2345,334,554.52,0,0,0,30.75,1,56.78,13.856,"1"
26805,0,2660,0,0,1461,13,2816.65,2660,0,0,23.88,1,313.15,19.8,"5"
13768,152701,0,1,0,1461,1099,514.41,0,0,1,52.22,2,68.16,23,"5"
3801,0,348,0,0,1827,1465,385.97,348,0,0,40.78,1,47.49,20,"5"
37871,9792,4506,0,1,4018,3658,3804.14,4506,0,1,17.52,2,393.45,16.5,"1"
1817,167138,307,0,0,2557,48,267.62,307,0,1,18.62,2,23.86,13.2,"5"
18710,9135,0,1,0,1461,64,2750.1,0,0,1,14.7,2,221.81,13.85,"5"
32093,805464,0,1,0,1461,1098,2038.61,0,0,1,9.2,2,192.09,13.85,"5"
6057,0,0,1,0,2557,2192,900.66,0,0,0,10.94,1,104.84,11.42,"5"
16497,0,579,0,0,1847,47,629.52,579,0,0,22.5,1,74.2,20,"5"
109808,0,12216,0,0,2192,1828,10615.41,12216,0,0,8.27,1,714.08,80,"5"
1572886,0,166003,0,0,2250,241,1459.22,3464,0,0,0.12,1,71.11,13.2,"6"
23842,0,0,1,1,1461,64,3123.55,0,0,0,4.86,1,221.84,10.39,"8"
718782,0,38979,0,0,1827,306,771.44,1138,0,0,0.86,6,49.46,20.785,"6"
128646,0,31710,0,0,2192,12,209.54,93,0,0,122.44,1,25.58,60,"8"
10594,40741,1220,0,0,2557,2192,1055,1220,0,1,18.12,4,117.18,20.7,"1"
4598,0,0,1,0,2432,344,668.81,0,0,0,18.12,1,61.86,10.392,"1"
835153,0,120324,0,0,2192,1828,156.53,570,0,0,30.9,1,6.06,14.5,"6"
142549,191838,12261,0,0,2192,30,10748.19,8667,0,1,8.31,4,778.46,45,"5"
2347,0,260,0,0,1971,726,233.39,260,0,1,43.32,2,23.1,17.321,"5"
10476,0,0,1,0,2557,52,700.14,0,0,0,17.67,1,57.01,13.856,"1"
6021,0,466,0,1,2498,2134,166.86,0,0,0,21.92,1,14.1,10.56,"5"
351441,0,79727,0,0,2192,1827,3393.86,3031,0,0,0.84,1,394.52,19.8,"6"
155986,0,12685,0,0,1461,32,4122.88,3456,0,0,44.07,1,462.78,41.5,"5"
4319,0,235,0,0,1827,23,274.72,235,0,0,28.36,1,33.92,17.9,"5"
22476,12787,1543,0,0,2381,157,1323.67,1543,0,1,25.84,2,127.52,12.5,"1"
905,0,0,1,0,1461,1096,236.44,0,0,0,153.78,1,131.62,10.35,"8"
15950,0,2385,0,0,2192,63,207.47,198,0,0,24.32,1,19.2,11.7,"1"
16486,0,0,1,0,1461,1096,1746.73,0,0,0,13.31,1,209.79,27.7,"3"
2052,0,0,1,0,1827,1462,308.94,0,0,0,14.57,1,34.73,10.35,"6"
295139,0,13307,0,1,1461,1100,12941.86,12510,0,0,0.31,1,737.81,15.1,"5"
4141,0,391,0,0,2557,55,617.02,391,0,0,23.36,1,51.52,15,"1"
15040,4383,0,1,0,2171,2,1625.53,0,0,1,30.18,2,204.98,25,"6"
45047,0,1041,0,0,4018,3653,4064.54,1041,0,0,0.12,1,449.8,36,"1"
43951,0,0,1,1,2189,400,4338.13,0,0,0,2.04,1,571.36,47,"5"
6531,0,0,1,0,1460,293,1243.83,0,28,0,40.68,1,147.84,12.5,"8"
128,0,45,0,0,1095,731,14.01,45,0,0,51.72,1,0.84,20.7,"5"
17339,0,1416,0,0,1095,298,2562.26,1416,0,0,33.84,1,269.75,15,"8"
2940,0,476,0,0,1496,366,435.19,476,0,0,7.95,1,38.79,15,"8"
9009,0,1340,0,0,1827,1462,1339.46,1340,0,0,14.53,1,114.95,15,"5"
11758,0,2296,0,1,2192,1838,1462.16,2296,0,0,16.08,1,108.88,11,"5"
161222,0,19247,0,0,1827,1462,1504.94,2413,0,0,4.95,1,132.52,10.52,"5"
8926,0,0,1,0,2557,100,772.85,0,0,0,20.66,1,106.21,23,"5"
3428,0,645,0,0,1827,1482,509.84,645,0,0,16.92,1,47.76,10.392,"6"
666859,0,67634,0,0,1460,1095,35753.6,43265,0,0,11.58,1,1938.77,50,"6"
5990,0,475,0,0,2192,1827,895.98,475,0,0,12.14,1,79.08,12.5,"5"
10998,0,1751,0,0,1837,368,464.99,531,0,0,34.68,1,47.31,13.856,"3"
7212,0,1757,0,0,2557,49,1077.59,1757,0,0,33.12,1,104.97,13.2,"5"
20684,0,2341,0,0,1491,46,1318.93,1337,0,0,7.88,1,101.31,10.5,"5"
11093,0,1183,0,0,1461,1096,425.69,476,0,0,59.06,1,46.46,43.64,"3"
148082,0,10495,0,0,1460,1095,3357.61,1946,0,0,6.88,1,405.46,20.7,"6"
28026,0,4511,0,0,1461,1102,4092.25,4511,0,0,21.34,1,377.94,10.392,"3"
187731,0,15990,0,0,1297,825,4281.2,4357,0,0,17.34,1,406.32,27.71,"6"
4721,0,0,1,1,1465,54,699.61,0,0,0,13.4,1,57.38,13.856,"5"
4436,0,788,0,0,2557,63,335,421,0,0,26.04,1,34.08,10.392,"1"
6401,0,247,0,1,2192,1827,288.34,247,0,0,43.32,1,31.41,17.321,"5"
4539,0,0,1,1,1461,8,487.3,0,0,0,18.99,1,73.14,16,"5"
3903,3665,544,0,0,2192,405,583,544,0,1,19.2,2,52.09,10.392,"5"
21334,4980,3383,0,0,2190,1827,3170.5,3383,0,1,8.8,3,306.76,13.2,"5"
7817,0,1292,0,0,1827,586,561.26,665,0,0,17.92,1,56.09,11.04,"5"
17559,0,3749,0,0,2553,439,1828.29,3749,0,0,8.66,1,166.79,18,"1"
1855,0,0,1,0,2192,1828,279.86,0,0,0,29.34,1,28.81,14.5,"1"
0,1521,0,1,0,2192,9,0,0,0,1,27.97,2,0,31.177,"1"
72324,0,9544,0,0,2192,101,871.14,904,0,0,23.72,1,96.76,15.001,"1"
63767,2762,13286,0,0,1461,38,5526.29,8734,0,1,54.84,2,578.8,55,"5"
42081,12853,3633,0,0,1528,731,4427.77,3633,0,1,1.78,2,487.13,40,"5"
74111,0,4402,0,0,4018,3654,7340.23,4402,0,0,15.78,1,666.95,33,"1"
10594,0,1826,0,0,2557,2192,1570.84,1826,0,0,14.94,1,143.72,12.275,"5"
13901,0,4860,0,0,3618,3253,0,4860,0,0,24.84,1,168.66,11,"1"
59586,0,9741,0,0,2150,267,1298.26,2153,0,0,14.49,1,117.02,21,"6"
46386,0,3183,0,0,1461,12,4742.41,3183,0,0,60.34,1,562,50,"5"
6630,275,1499,0,0,1063,42086,893.69,1413,30,1,33.19,2,43.63,10.392,"5"
99212,0,3896,0,1,2287,728,15230.92,3896,0,0,8.76,1,522.64,13.15,"5"
30020,0,4192,0,0,3683,32,0,4192,0,0,29.64,1,326.87,19.8,"1"
5485,0,554,0,0,1201,732,816.51,554,0,0,7.8,1,76.85,10.392,"5"
1079,4402,0,1,0,2192,386,160.15,0,0,1,19.11,3,19.94,10.35,"1"
91529,0,16630,0,0,2192,1831,4008.15,6247,0,0,26.55,1,436.82,25,"6"
20671,0,0,1,0,2939,98,1636.97,0,0,0,9.33,1,147.52,52,"5"
2882597,976731,382647,0,0,1461,1096,3693.8,2746,0,1,11.95,2,280.8,13.856,"6"
4461,0,466,0,0,1461,22,473.32,466,0,0,20.43,1,58.61,15.1,"5"
41723,0,6622,0,0,1491,366,2048.33,3274,0,0,37.44,1,228.57,25,"5"
15001,0,0,1,1,2192,1828,2247.47,0,0,0,25.7,1,205.19,13.856,"1"
37802,0,3348,0,0,1461,31,3934.77,3348,0,0,12.54,1,464.46,20,"8"
649,0,30,0,1,1096,42,66.34,30,0,0,23.72,1,8.72,15.005,"5"
13593,0,1042,0,0,1826,1462,1456.71,1042,0,0,39.6,1,150,19.8,"5"
5701,0,0,1,0,2192,403,848.19,0,0,0,10.36,1,77.43,13.856,"1"
4886,24209,0,1,0,1827,66,731.26,0,0,1,16.92,3,72.21,10.392,"5"
29390,313,2255,0,1,2191,1827,2307.04,2255,0,1,29.64,3,244.36,19.8,"5"
2288838,0,237044,0,0,1826,1469,1490.94,1725,0,0,0,1,185.61,20,"6"
2664,0,0,1,0,1489,47,391.16,0,0,0,14.64,1,35.21,10.392,"5"
26282,0,2816,0,0,2295,371,2509.8,2816,0,0,47.16,1,294.35,31.5,"5"
2842,0,453,0,0,1096,46,424.65,453,0,0,18.72,1,43.87,11.5,"5"
2146,0,0,1,1,1460,1099,325.36,0,0,0,32.88,1,38.32,13.15,"3"
296687,0,14004,0,0,1827,256,10607.2,0,0,0,1.1,1,688.1,48,"5"
2662467,87653,297614,0,0,1461,1099,2440.64,1668,0,1,13.03,2,159.83,10.35,"6"
61377,0,0,1,0,2556,2193,1280.49,0,0,0,19.56,1,121.27,13.856,"1"
830,0,0,1,0,1461,265,123.33,0,0,0,30.22,1,7.03,13.2,"3"
7575,0,0,1,0,1096,362,1129.21,0,0,0,25.56,1,103.94,13.856,"6"
22361,0,1311,0,0,1461,1100,2862.55,1311,0,0,24.9,1,236.08,15,"8"
77894,0,8139,0,0,2192,1827,0,0,0,0,134.1,1,0,65.7,"5"
5414,0,0,1,0,1461,1097,809.57,0,0,0,31.2,1,153.1,13.856,"3"
1049,0,0,1,0,1477,46,154.49,0,0,0,16.85,1,17.27,12,"5"
231932,931039,20708,0,0,2192,348,578.44,170,0,1,0.33,2,34.84,10.392,"6"
13941,0,2276,0,0,2540,2175,0,0,0,0,19.08,1,74.05,10.392,"1"
615519,0,62151,0,0,1336,397,3275.26,4215,0,0,0,1,356.67,15.68,"5"
16340,0,410,0,0,4631,395,1637.57,410,0,0,0.74,1,270.65,16.97,"1"
27603,0,2460,0,0,1441,367,219,0,19,0,30.52,1,12.31,14.7,"5"
12969,0,1690,0,0,1827,1466,654.97,621,0,0,12.14,1,45.57,12.5,"8"
61124,0,6084,0,1,1827,1462,5872.89,6084,0,0,42.96,2,646.02,43,"8"
5733,0,465,0,1,1180,367,590.65,465,0,0,49.44,2,66.71,19.8,"5"
54920,0,2582,0,0,2557,2193,380.48,0,0,0,21.64,1,36.28,10.392,"1"
9461,0,0,1,1,1461,1096,762.04,0,0,0,0,1,306.91,11,"5"
46747,0,0,1,0,2557,2193,848.16,0,0,0,15.72,1,78.06,13.2,"5"
615,0,538,0,0,1319,366,82.92,538,0,0,33.12,1,17.05,13.2,"5"
3427,0,32,0,0,1970,299,451.27,32,30,0,54.84,2,157.05,17.32,"1"
3576,0,630,0,0,1096,46,531.5,630,0,0,21.52,1,52.53,13.2,"5"
27746,16507,2139,0,0,4018,3654,2676.97,2040,0,1,9.48,3,314.83,19.8,"1"
2650,0,0,1,0,2557,2196,399.67,0,0,0,17.1,1,38.64,10.35,"1"
223859,0,17005,0,0,1827,1462,3262.64,3063,0,0,17.38,1,237.7,13.8,"6"
4850,0,0,1,1,2191,307,737.55,0,0,0,26.04,1,80.55,10.392,"1"
8480,0,1261,0,0,2557,2192,831.87,1261,0,0,19.56,1,99.24,16.5,"5"
30879,0,2391,0,0,2192,1827,1395.65,945,0,0,28,1,150.01,17.25,"6"
20082,0,0,1,0,2557,2197,273.21,0,0,0,7.8,1,69.52,10.392,"5"
3159,0,0,1,0,1829,365,368.43,0,0,0,34.68,1,41.01,13.856,"6"
3435,0,333,0,0,1095,282,513.55,333,0,0,37.56,1,53.75,15,"5"
13681,0,0,1,0,2557,2193,1024.96,0,0,0,15.72,1,92.9,13.2,"5"
4735,0,385,0,1,1461,1096,711.27,384,0,0,32.88,1,67.24,13.15,"5"
26917,0,3120,0,0,1461,31,2648.99,3120,0,0,20.86,1,367.53,27.1,"5"
94823,0,2353,0,0,2192,47,1225.18,0,0,0,33.12,1,127.4,13.2,"6"
8296,0,0,1,0,2248,1883,1257.61,0,0,0,30.22,1,129.11,13.2,"1"
20917,0,2032,0,0,2148,12,1803.51,2032,0,0,3.64,1,190.15,20,"5"
44979,0,4804,0,0,2248,0,4361.46,4804,0,0,53.31,1,506.32,39.4,"1"
22055,0,4329,0,0,1827,1462,795.94,887,0,0,15.5,1,75.64,11,"5"
33878,0,0,1,0,2557,2192,4067.4,0,0,0,14.04,1,324.49,13.2,"5"
1532,0,435,0,0,2557,2192,155.86,435,0,0,13.4,1,17.43,13.856,"1"
1691,0,0,1,0,2557,2192,253.26,0,0,0,22.88,1,24.72,11,"5"
7003,0,0,1,0,2191,1830,790.79,0,0,0,19.11,1,79.88,10.35,"6"
28840,0,2835,0,0,2557,2192,2980.91,2801,0,0,25.98,1,319.37,41.5,"1"
26607,0,2754,0,1,2557,2197,2902.96,2754,0,0,7.76,1,332.55,23.1,"1"
6918,0,0,1,0,1481,293,1313.08,0,28,0,40.68,1,144.16,12.5,"5"
77710,0,6179,0,0,2192,1828,7629.4,6179,0,0,30.23,1,704.86,63,"1"
3278,0,588,0,0,1827,61,233.63,290,0,0,21.09,1,19.95,10.392,"8"
567590,0,48288,0,0,1461,1099,915.13,0,0,0,0,1,46.89,10.6,"5"
133577,0,12265,0,0,2557,647,12797.22,12265,0,0,1.88,1,872.46,23.1,"5"
918,0,0,1,0,1461,1098,254.69,0,0,0,225.12,1,130.02,15,"5"
67620,0,3060,0,0,2557,193,4370.73,3060,0,0,22.78,1,495.38,29.53,"5"
39586,0,0,1,0,2192,1828,371.8,0,0,0,14.64,1,35.19,10.39,"5"
2026,0,109,0,0,1827,33,122.88,109,0,0,49.32,1,14.3,19.745,"5"
30247,73034,2651,0,0,2557,394,3011.9,2651,0,1,1.74,3,359.42,39,"5"
26178,54065,3542,0,0,2557,56,3843.61,3542,0,1,3.4,2,265.92,12.5,"1"
37628,59736,3411,0,0,1827,17,3878.67,3411,0,1,17.81,3,451.9,23.1,"8"
1463,0,43,0,0,2888,2526,0,0,0,0,347.32,1,65.37,80,"1"
5352,0,168,0,0,1096,731,587.39,168,0,0,23.76,1,92.3,10.392,"5"
37969,0,3407,0,0,4018,20,3879.98,3407,0,0,44.64,1,407.98,33,"1"
3923,0,0,1,1,1461,36,583.81,0,0,0,15.78,1,61.66,13.856,"5"
1674,0,0,1,0,2192,1827,249.64,0,0,0,17.82,1,25.85,15,"1"
81661,0,8493,0,0,1096,46,643.74,0,0,0,16.92,1,60.45,10.392,"5"
72538,0,6900,0,0,1461,1097,7311.9,6900,0,0,15.36,1,748.18,26.3,"5"
12994,0,757,0,0,2192,1828,1568.37,580,0,0,20.2,1,132.12,13.856,"5"
251377,0,27408,0,0,1461,37,985.82,721,0,0,23.4,1,115.68,17.3,"6"
9745,0,723,0,1,1095,293,1433.75,723,0,0,34.68,1,140,13.856,"5"
71083,0,7719,0,0,4040,3683,7224.34,7719,0,0,20.97,1,632.72,30.57,"1"
1443,0,0,1,0,2192,1827,214.02,0,0,0,21.52,1,43.13,13.2,"6"
15450,2937,1796,0,0,1827,23,1571.08,1796,0,1,37.44,3,160.92,30,"1"
206042,0,0,1,0,2922,2557,20310.16,0,0,0,3.9,1,1510.89,90,"1"
10635,0,783,0,0,1461,34,1579.87,783,0,0,24.52,2,131.24,13.2,"5"
96490,0,11094,0,0,2192,1827,1007.52,751,0,0,18.33,1,120.07,17.25,"6"
10067,7135,3293,0,0,1461,1117,1498.34,3293,0,1,21.92,3,154.41,15,"5"
32943,0,735,0,0,2192,1827,1283.41,0,0,0,19.2,1,124,10.392,"5"
4785,0,943,0,0,1461,1096,723.03,943,0,0,25.18,1,69.78,11,"5"
2725,0,0,1,0,2192,45,405.99,0,0,0,27.28,1,30.89,13.856,"1"
5339,0,0,1,0,2557,2192,552.23,0,0,0,18.08,1,56.05,10.35,"1"
23507,79423,1922,0,0,2557,2192,3477.3,1922,0,0,6.18,1,284.43,13.2,"5"
8320,0,1378,0,0,1343,367,565.41,669,0,0,14.53,1,43.7,15,"5"
23676,0,0,1,0,1779,732,1602.45,0,0,0,8.36,1,129.43,12.5,"1"
2503923,475413,313018,0,0,2192,1827,5247.98,4716,0,1,26.88,2,413.21,14.5,"1"
4027,0,0,1,0,1827,1,414.66,0,0,0,45.3,1,54.8,29,"5"
39403,0,0,1,1,1827,634,720.21,0,0,0,31.2,1,121.05,27.713,"5"
42484,0,5077,0,0,1461,1096,4665.42,4371,0,0,8.8,1,385.3,13.2,"3"
20820,6725,1567,0,0,1827,1462,2054.75,1567,0,1,6.72,3,273.07,20,"5"
58824,528313,5412,0,0,1461,1096,166.95,140,0,1,34.6,2,20.7,17.32,"5"
1835,0,59,0,0,1463,366,345.36,59,17,0,31.2,1,45.3,15,"5"
11159,0,1008,0,0,2192,19,1149.41,1008,0,0,19.16,1,137.05,16.4,"5"
3181,0,759,0,0,1516,1151,465.22,759,0,0,21.48,1,42.29,10.392,"8"
177957,0,7694,0,0,1492,577,7634.29,1479,0,0,14.16,1,852.51,24.249,"5"
34394,0,6301,0,1,1569,29,3385.33,6301,0,0,37.44,1,376.89,25,"5"
18910,0,0,1,0,2627,742,2370.65,0,0,0,9.2,1,159.71,13.856,"1"
11657,0,648,0,0,2222,1858,747.46,648,0,0,43.08,1,92.65,17.25,"1"
190156,0,8456,0,0,1095,510,14316.45,5543,0,0,29.64,1,732.85,13.16,"5"
5242,0,0,1,0,2148,367,783.8,0,24,0,48.6,1,80.32,13.856,"5"
28821,0,954,0,0,2557,2192,948.13,954,0,0,35.85,1,106.75,19.8,"5"
5701,0,488,0,0,2192,1827,585.11,488,0,0,17.1,1,70.08,15.2,"3"
7995,0,434,0,0,1827,74,852.38,434,0,0,23.4,1,101.34,20.784,"5"
11979,0,3598,0,0,2557,78,1211.59,3598,0,0,8.93,1,84.89,10.35,"1"
56734,0,10916,0,0,4018,149,5716.12,10916,0,0,5,1,530.14,30,"6"
11448,0,1802,0,0,1811,1451,1314.38,1802,0,0,9.88,1,69.81,13.164,"8"
78228,0,0,1,0,2557,2192,454.1,0,0,0,33.12,1,47.35,13.2,"5"
3437,0,306,0,0,2424,161,497.32,306,0,0,23.1,1,43.18,12.5,"1"
4624,0,0,1,0,1482,53,678.61,0,0,0,10.66,1,50.53,11,"5"
7330,0,697,0,1,1088,366,707.87,697,0,0,49.44,1,82.78,19.8,"5"
24362,0,1697,0,0,1813,197,2481.98,1697,0,0,0.84,1,314.17,19.8,"6"
3636,0,1003,0,0,1461,1096,542.04,1003,0,0,11.06,1,44.39,11.4,"3"
